track_id,track_name,track_artist,track_popularity,track_album_release_date,playlist_name,playlist_id,danceability,energy,valence
6sW7QqYyv6RMGxxOHACwdN,Yeh Ladka Hai Allah,Mohammed Rafi,0,2004,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.477,0.38,0.654
3zTI7XfDMIhbLiA9lOwTuR,My Name Is Anthony Gonsalves - Amar Akbar Anthony / Soundtrack Version,Various Artists,7,1981,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.634,0.594,0.801
2m1RLlmjUujd7z10OzvjAO,Amar Akbar Anthony - Amar Akbar Anthony / Soundtrack Version,Various Artists,2,1981,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.293,0.642,0.674
6pnOK6DjhTFmRhlppvuJC4,Main Chali Main Chali...,Various Artists,0,2010-01-01,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.512,0.622,0.831
4A0yDluE2XEY793KxslQmy,"Achha To Hum Chalte Hain - From ""Aan Milo Sajna""","Lata Mangeshkar, Kishore Kumar",0,2015-12-10,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.499,0.373,0.708
4a7p8HxCBcLdaTAZF4A4l4,"Gaata Rahe Mera Dil - From ""Guide""","Lata Mangeshkar, Kishore Kumar",0,2015-12-10,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.439,0.516,0.753
2PXZvXz3q9AuRv5h55nwzG,"Yeh Dosti Hum Nahin - Happy Version / From ""Sholay""",Various Artists,38,2015-08-14,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.474,0.618,0.641
4b4xGrEDd0nLJsSGSCQGNm,Kabhi Aar Kabhi Paar - Remix,Sona Mohapatra,0,2004-12-01,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.788,0.79,0.546
2iM8LnDyJQOYmBjmHtLpsR,Lag Ja Gale Se Phir,Madan Mohan,0,2013-11-01,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.336,0.376,0.374
6R8Ai2lNsusm7K7LSvNEHS,Disco Deewane,Nazia & Zoheb Hassan,48,1985-12-01,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.731,0.474,0.961
7c7KDiMalI9fXzmi3laH7o,"Taarif Karoon Kya Uski - From ""Kashmir Ki Kali""",Mohammed Rafi,0,2014-05-05,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.601,0.46,0.831
